Название_ЖК,name,distance
Прайм Тайм,"«Ул. Лизы Чайкиной», Ленинградский проспект (1009)",997.3218570228668
Прайм Тайм,"«ТРЦ Авиапарк», улица Авиаконструктора Микояна (1001626)",999.5595143523686
Резиденции композиторов,"«Даниловская наб.», Даниловская набережная (7428)",383.72386650990296
Резиденции композиторов,"«Даниловская наб.», Даниловская набережная (7426)",392.4707773710896
Резиденции композиторов,"«3-й Павелецкий проезд, 7», 3-й Павелецкий проезд (7015)",404.48607564698057
Резиденции композиторов,"«Пожарная часть», 3-й Павелецкий проезд (7427)",417.76326967081513
Резиденции композиторов,"«Пожарная часть», 3-й Павелецкий проезд (7016)",431.58273825276603
Резиденции композиторов,"«3-й Павелецкий проезд, 7», 3-й Павелецкий проезд (7030)",438.51574035906435
Резиденции композиторов,"«2-й Павелецкий пр.», Павелецкая набережная (7029)",561.482781956711
Резиденции композиторов,"«3-й Павелецкий пр. (выс.)», 3-й Павелецкий проезд (7031)",594.3688936859317
Резиденции композиторов,"«3-й Павелецкий пр. (к/ст, пос.)», 3-й Павелецкий проезд (7014)",595.1975240304686
Резиденции композиторов,"«Зиловский бульвар», Автозаводская улица (3880)",796.0163934522267
Резиденции композиторов,"«Железнодорожный проезд», Даниловская набережная (7429)",825.3450012026066
Резиденции композиторов,"«Парк Легенд», Автозаводская улица (3763)",841.0522107224591
Резиденции композиторов,"«Парк Легенд», Автозаводская улица (10521)",872.2686423043896
Резиденции композиторов,"«Префектура ЮАО», Автозаводская улица (3762)",876.9870019420132
Резиденции композиторов,"«Зиловский бульвар», Автозаводская улица (3877)",877.8910865058011
Резиденции композиторов,"«Железнодорожный проезд», Даниловская набережная (7425)",896.3211307663147
Резиденции композиторов,"«Автозаводский мост», Автозаводская улица (3881)",918.6461916920534
Резиденции композиторов,"«Метро Автозаводская», улица Мастеркова (3761)",962.2131992805178
Резиденции композиторов,"«Префектура ЮАО», Автозаводская улица (10578)",969.062547765104
Резиденции композиторов,"«Павелецкая наб., 2», Павелецкая набережная (7028)",980.377586444367
Резиденции композиторов,"«Автозаводский мост», Автозаводская улица (4381)",984.9274629725572
Резиденции композиторов,"«Метро Автозаводская», улица Мастеркова (5384)",990.689051239868
Резиденции композиторов,"«Метро Автозаводская», улица Мастеркова (3767)",996.6539159465771
Сердце столицы,"«Ул. Шеногина», 1-й Силикатный проезд (1767)",263.72940896628745
Сердце столицы,"«Ул. Шеногина», 1-й Силикатный проезд (1599)",291.6255194155328
Сердце столицы,"«1-й Магистральный пр.», 3-я Магистральная улица (1596)",665.3928830145319
Сердце столицы,"«Причальный пр.», Причальный проезд (1663)",679.8354598755047
Сердце столицы,"«Причальный пр.», Причальный проезд (8226)",699.3646681688019
Сердце столицы,"«1-й Магистральный пр.», 3-я Магистральная улица (1562)",716.735244763626
Сердце столицы,"«Романовская школа», Шелепихинская набережная (1681)",719.378643913644
Сердце столицы,"«2-й Силикатный пр.», 1-й Силикатный проезд (1559)",745.9345139750353
Сердце столицы,"«Романовская школа», Шелепихинская набережная (1664)",776.3302171407597
Сердце столицы,"«Новофилёвский пр.», Новофилёвский проезд (2368)",801.8449752891064
Сердце столицы,"«Ст. Пресня», 3-я Магистральная улица (1563)",817.2994440673808
Сердце столицы,"«4-я Магистральная ул.», 3-я Магистральная улица (1594)",819.2399990466874
Сердце столицы,"«Новофилёвский пр.», Новофилёвский проезд (2377)",834.8620615452135
Сердце столицы,"«2-й Силикатный пр.», 1-й Силикатный проезд (1600)",855.662151098844
Сердце столицы,"«Шелепихинское ш.», Шелепихинское шоссе (1560)",870.8427051590061
Сердце столицы,"«2-й Силикатный пр.», 1-й Силикатный проезд (1000873)",871.0279995775822
Сердце столицы,"«Шелепихинское ш.», Шелепихинское шоссе (1598)",894.3895387590875
Сердце столицы,"«Мост Окружной ж.д.», 3-я Магистральная улица (1561)",948.2491741138217
Сердце столицы,"«Силикатный з-д (выс.)», 1-й Силикатный проезд (16994)",988.9529467718996
